time,ctx,cfg,en,layer_done,j,k,y,n,pad_read39,pad_state39,overarray,mp_pad,mp_pad2,mp_pad3,store0,waddr0,baddr0,wvalid0,bvalid0,weight0,bias0,spix0,v0,spix1,v1,spix2,v2,s0,s0v,s1,s1v,s2,s2v,d0,d0v,ldm_en,ldm_addr,ldm_data,pixel0_out,pixel0_out_valid,pixel1_out,pixel1_out_valid
69975000,c0c3a858,5,1,0,6,1,1,0,0,1,0,1,0,0,58,146,16,1,0,001d,0000,0003,1,fff3,1,fff4,1,001d,1,0003,1,0000,0,0000,0,0,58,0000,ffe9,1,fff3,1
69985000,c0c3a858,5,1,0,0,0,2,0,0,1,0,1,0,0,58,120,16,1,0,ffe7,0000,001a,1,fff3,1,fff4,1,ffe7,1,001a,1,0000,0,0000,0,0,58,0000,ffe9,1,fff3,1
69995000,c0c3a858,5,1,0,1,0,2,0,0,1,0,1,0,0,58,122,16,1,1,0003,fff5,002b,1,fff3,1,fff4,1,0003,1,002b,1,fff5,1,0000,0,0,58,0000,0008,1,0024,1
70005000,c0c3a858,5,1,0,2,0,2,0,0,1,0,1,0,0,58,124,16,1,0,0013,0000,002f,1,0024,1,0025,1,0013,1,002f,1,0000,0,0000,0,0,59,0000,0008,1,0024,1
70015000,c0c3a858,5,1,0,3,0,2,0,0,1,0,1,0,0,58,126,16,1,0,001a,0000,0024,1,0024,1,0025,1,001a,1,0024,1,0000,0,0000,1,1,59,0000,0008,1,0024,1
70025000,c0c3a858,5,1,0,4,0,2,0,0,1,0,1,0,0,58,128,16,1,0,fffc,0000,0024,1,0024,1,0025,1,fffc,1,0024,1,0000,0,000e,0,0,59,000e,0024,1,0000,1
70035000,c0c3a858,5,1,0,5,0,2,0,0,1,0,1,0,0,58,130,16,1,0,ffe1,0000,0024,1,0000,1,0025,1,ffe1,1,0024,1,0000,0,001d,0,0,59,001d,0024,1,0000,1
70045000,c0c3a858,5,1,0,6,0,2,0,0,1,0,1,0,0,58,132,16,1,0,0019,0000,0025,1,0000,1,fffe,1,0019,1,0025,1,0000,0,001b,0,0,59,001b,0024,1,0000,1
70055000,c0c3a858,5,1,0,0,1,2,0,0,1,0,1,0,0,58,134,16,1,0,ffff,0000,0021,1,0000,1,fffe,1,ffff,1,0021,1,0000,0,000a,0,0,59,000a,0024,1,0000,1
70065000,c0c3a858,5,1,0,1,1,2,0,0,1,0,1,0,0,58,136,16,1,0,ffff,0000,0023,1,0000,1,fffe,1,ffff,1,0023,1,0000,0,0018,0,0,59,0018,ffe9,1,fff3,1
70075000,c0c3a858,5,1,0,2,1,2,0,0,1,0,1,0,0,58,138,16,1,0,fff9,0000,ffe7,1,fff3,1,fff4,1,fff9,1,ffe7,1,0000,0,0017,0,0,59,0017,ffe9,1,fff3,1
70085000,c0c3a858,5,1,0,3,1,2,0,0,1,0,1,0,0,58,140,16,1,0,001d,0000,ffec,1,fff3,1,fff4,1,001d,1,ffec,1,0000,0,0016,0,0,59,0016,ffe9,1,fff3,1
70095000,c0c3a858,5,1,0,4,1,2,0,0,1,0,1,0,0,58,142,16,1,0,fffe,0000,ffee,1,fff3,1,fff4,1,fffe,1,ffee,1,0000,0,0019,0,0,59,0019,fff3,1,fff6,1
70105000,c0c3a858,5,1,0,5,1,2,0,0,1,0,1,0,0,58,144,16,1,0,0007,0000,fff3,1,fff6,1,fff4,1,0007,1,fff3,1,0000,0,0010,0,0,59,0010,fff3,1,fff6,1
70115000,c0c3a858,5,1,0,6,1,2,0,0,1,0,1,0,0,58,146,16,1,0,001d,0000,fff4,1,fff6,1,001c,1,001d,1,fff4,1,0000,0,0011,0,0,59,0011,fff3,1,fff6,1
70125000,c0c3a858,5,1,0,0,0,3,0,0,1,0,1,0,0,58,120,16,1,0,ffe7,0000,fff4,1,fff6,1,001c,1,ffe7,1,fff4,1,0000,0,0010,0,0,59,0010,fff3,1,fff6,1
70135000,c0c3a858,5,1,0,1,0,3,0,0,1,0,1,0,0,58,122,16,1,1,0003,fff5,fff3,1,fff6,1,001c,1,0003,1,fff3,1,fff5,1,000b,0,0,59,000b,0024,1,0000,1
70145000,c0c3a858,5,1,0,2,0,3,0,0,1,0,1,0,0,58,124,16,1,0,0013,0000,001a,1,0000,1,fffe,1,0013,1,001a,1,0000,0,0010,0,0,5a,0010,0024,1,0000,1
70155000,c0c3a858,5,1,0,3,0,3,0,0,1,0,1,0,0,58,126,16,1,0,001a,0000,001b,1,0000,1,fffe,1,001a,1,001b,1,0000,0,0004,1,1,5a,0004,0024,1,0000,1
70165000,c0c3a858,5,1,0,4,0,3,0,0,1,0,1,0,0,58,128,16,1,0,fffc,0000,000d,1,0000,1,fffe,1,fffc,1,000d,1,0000,0,0008,0,0,5a,0008,0000,1,ffee,1
70175000,c0c3a858,5,1,0,5,0,3,0,0,1,0,1,0,0,58,130,16,1,0,ffe1,0000,0000,1,ffee,1,fffe,1,ffe1,1,0000,1,0000,0,0013,0,0,5a,0013,0000,1,ffee,1
70185000,c0c3a858,5,1,0,6,0,3,0,0,1,0,1,0,0,58,132,16,1,0,0019,0000,0000,1,ffee,1,ffed,1,0019,1,0000,1,0000,0,0012,0,0,5a,0012,0000,1,ffee,1
70195000,c0c3a858,5,1,0,0,1,3,0,0,1,0,1,0,0,58,134,16,1,0,ffff,0000,0000,1,ffee,1,ffed,1,ffff,1,0000,1,0000,0,0012,0,0,5a,0012,0000,1,ffee,1
70205000,c0c3a858,5,1,0,1,1,3,0,0,1,0,1,0,0,58,136,16,1,0,ffff,0000,0000,1,ffee,1,ffed,1,ffff,1,0000,1,0000,0,0012,0,0,5a,0012,fff3,1,fff6,1
70215000,c0c3a858,5,1,0,2,1,3,0,0,1,0,1,0,0,58,138,16,1,0,fff9,0000,fff3,1,fff6,1,001c,1,fff9,1,fff3,1,0000,0,0012,0,0,5a,0012,fff3,1,fff6,1
70225000,c0c3a858,5,1,0,3,1,3,0,0,1,0,1,0,0,58,140,16,1,0,001d,0000,fff7,1,fff6,1,001c,1,001d,1,fff7,1,0000,0,0012,0,0,5a,0012,fff3,1,fff6,1
70235000,c0c3a858,5,1,0,4,1,3,0,0,1,0,1,0,0,58,142,16,1,0,fffe,0000,fff7,1,fff6,1,001c,1,fffe,1,fff7,1,0000,0,0013,0,0,5a,0013,fff6,1,001f,1
70245000,c0c3a858,5,1,0,5,1,3,0,0,1,0,1,0,0,58,144,16,1,0,0007,0000,fff6,1,001f,1,001c,1,0007,1,fff6,1,0000,0,000f,0,0,5a,000f,fff6,1,001f,1
70255000,c0c3a858,5,1,0,6,1,3,0,0,1,0,1,0,0,58,146,16,1,0,001d,0000,0000,1,001f,1,001f,1,001d,1,0000,1,0000,0,000f,0,0,5a,000f,fff6,1,001f,1
70265000,c0c3a858,5,1,0,0,0,0,0,1,1,0,1,1,0,58,148,18,1,0,ffe7,0000,0000,1,001f,1,001f,1,ffe7,1,0000,1,0000,0,000e,0,0,5a,000e,fff6,1,001f,1
70275000,c0c3a858,5,1,0,1,0,0,0,1,1,1,1,1,0,58,150,18,1,1,0003,fff5,0000,1,001f,1,0000,1,0003,1,0000,1,fff5,1,000e,0,0,5a,000e,0000,1,002f,1
70285000,c0c3a858,5,1,0,2,0,0,0,1,1,0,1,1,0,58,152,18,1,0,0014,0000,0032,1,002f,1,0000,1,0014,1,0032,1,0000,0,000e,0,0,5b,000e,0000,1,002f,1
70295000,c0c3a858,5,1,1,3,0,0,0,0,1,0,1,1,0,58,154,18,1,0,002d,0000,0030,1,002f,1,0000,1,002d,1,0030,1,0000,0,0003,1,1,5b,0003,0000,1,002f,1
